group,amputation,angina,blindness,chf,death,dialysis,egfr_30,egfr_60,hypoglycemia_any,hypoglycemia_medical,intervention,laser_retina,macroalbuminuria,mi,microalbuminuria,neurop,person_years,revasc,stroke,ulcer
non-intervention--0018,272,1746,3128,1793,10000,697,1091,3883,1800,4370,0,2955,3969,2283,6326,9435,203745,3858,1381,3492
non-intervention--0019,300,1669,3109,1689,10000,640,1101,3903,1891,4517,0,2969,3961,2279,6354,9396,205540,3885,1408,3520
non-intervention--0020,291,1736,3157,1684,10000,637,1098,3931,1700,4413,0,2838,3927,2137,6385,9404,204627,3941,1373,3501
non-intervention--0021,258,1724,3097,1670,10000,721,1060,3812,1790,4374,0,2842,3917,2245,6266,9390,205375,4074,1408,3503
non-intervention--0022,299,1710,3077,1760,10000,662,1091,3826,1785,4366,0,2990,3908,2185,6307,9395,203117,4078,1431,3511
non-intervention--0023,294,1758,3078,1755,10000,660,1100,3851,1736,4334,0,2973,4033,2328,6319,9410,204840,4020,1387,3632
non-intervention--0024,287,1673,3163,1686,10000,633,1127,3901,1814,4290,0,2842,3907,2290,6347,9376,204662,3986,1445,3524
non-intervention--0025,275,1733,3142,1711,10000,614,1035,3974,1896,4541,0,2823,3994,2257,6280,9439,204230,4054,1464,3664
non-intervention--0026,291,1732,3133,1695,10000,668,1058,3844,1785,4345,0,2904,3938,2193,6330,9419,205477,4086,1405,3568
non-intervention--0027,299,1784,3054,1771,10000,650,1063,3892,1836,4336,0,2887,3964,2266,6280,9393,205009,4118,1353,3554
non-intervention--0028,264,1691,3089,1653,10000,674,1021,3896,1786,4609,0,2889,3951,2156,6327,9416,204959,3787,1433,3494
non-intervention--0029,312,1723,3086,1701,10000,649,1010,3838,1845,4485,0,2934,4013,2269,6354,9424,202741,3968,1428,3586
non-intervention--0030,288,1681,3201,1753,10000,674,1065,3949,1862,4436,0,2882,3960,2212,6226,9411,206575,3934,1450,3609
non-intervention--0031,307,1740,3156,1733,10000,655,1052,3924,1795,4371,0,2896,3854,2249,6304,9400,204154,4097,1465,3599
non-intervention--0032,272,1760,3206,1676,10000,638,1055,3860,1793,4379,0,2904,3980,2263,6291,9376,202933,3978,1409,3581
non-intervention--0033,312,1762,3136,1671,10000,612,1095,3887,1816,4492,0,2910,3900,2288,6247,9404,204058,4012,1338,3583
non-intervention--0034,273,1688,3014,1767,10000,656,1060,3913,1722,4362,0,2861,3886,2383,6301,9407,203017,4015,1414,3451
non-intervention--0035,266,1687,3139,1691,10000,667,1073,3906,1894,4460,0,2914,4018,2240,6342,9390,206099,4003,1452,3625
non-intervention--0036,268,1711,3166,1664,10000,681,1063,3890,1815,4391,0,2891,3933,2208,6372,9390,204161,3882,1365,3568
non-intervention--0037,292,1743,3131,1705,10000,657,1064,3955,1855,4446,0,2869,3847,2214,6281,9367,204494,3876,1355,3613
