group,amputation,angina,blindness,chf,death,dialysis,egfr_30,egfr_60,hypoglycemia_any,hypoglycemia_medical,intervention,laser_retina,macroalbuminuria,mi,microalbuminuria,neurop,person_years,revasc,stroke,ulcer
non-intervention--0065,283,1689,3134,1759,10000,619,1063,3895,1866,4309,0,2935,3966,2277,6283,9344,204071,4131,1450,3500
non-intervention--0066,268,1666,3056,1697,10000,684,1070,3944,1785,4426,0,2861,3888,2233,6292,9364,203651,3867,1429,3392
non-intervention--0067,273,1668,3090,1661,10000,638,1064,3951,1767,4380,0,2954,4006,2301,6264,9421,204641,3946,1430,3577
non-intervention--0068,266,1676,3107,1714,10000,664,1052,3902,1872,4359,0,2935,3930,2278,6388,9433,204949,3960,1469,3627
non-intervention--0069,298,1767,3155,1716,10000,651,1097,3872,1755,4304,0,2877,3886,2266,6385,9417,205349,4056,1453,3637
non-intervention--0070,311,1712,3079,1698,10000,686,1088,3837,1844,4360,0,2925,3948,2287,6294,9429,205080,4042,1410,3607
non-intervention--0071,276,1745,3106,1729,10000,658,1111,3836,1832,4412,0,2878,3918,2230,6264,9396,204355,4009,1409,3519
non-intervention--0072,318,1665,3063,1701,10000,617,1061,3950,1833,4325,0,2928,3969,2281,6313,9421,203083,3877,1423,3547
non-intervention--0073,267,1745,3138,1744,10000,727,1051,3913,1811,4495,0,2955,4017,2224,6366,9422,207454,3934,1419,3532
non-intervention--0074,304,1733,3220,1733,10000,702,1129,3905,1805,4471,0,2914,3916,2343,6243,9397,204965,4079,1442,3541
non-intervention--0075,310,1759,3119,1684,10000,668,1092,3897,1857,4325,0,2941,3947,2217,6299,9404,202686,4028,1372,3548
non-intervention--0076,308,1706,3175,1714,10000,637,1036,3905,1761,4431,0,2877,3965,2272,6332,9414,203859,4042,1344,3532
non-intervention--0077,309,1677,3176,1704,10000,692,1083,3830,1896,4350,0,2949,3916,2302,6279,9406,204478,3894,1466,3642
non-intervention--0078,300,1737,3139,1738,10000,694,1067,3921,1916,4508,0,2947,3949,2202,6271,9392,202427,3930,1471,3614
non-intervention--0079,286,1693,3176,1718,10000,686,1047,3827,1861,4397,0,2918,3907,2310,6302,9383,203962,3881,1429,3479
non-intervention--0080,270,1738,3071,1709,10000,670,1077,3971,1787,4448,0,2881,3914,2249,6301,9375,203131,4014,1504,3448
non-intervention--0081,269,1718,3187,1760,10000,637,1123,3881,1860,4351,0,2935,3860,2202,6235,9410,203886,3850,1368,3478
non-intervention--0082,309,1747,3138,1665,10000,653,1066,3855,1753,4422,0,2922,3887,2318,6319,9393,203855,4020,1491,3511
non-intervention--0083,281,1717,3156,1729,10000,651,1082,3789,1831,4463,0,2935,3949,2246,6214,9385,205848,3827,1400,3474
