run,Total cost non-intervention,Treatment costs - non-intervention,Complication costs - non-intervention,Intervention costs - non-intervention,QALY non-intervention,Total cost intervention,Treatment costs - intervention,Complication costs - intervention,Intervention costs - intervention,QALY intervention,Cost increment,QALY increment,ICER,ICER: mean inc Cost / mean inc QALY,Remaining LY non-intervention,Remaining LY intervention,LY increment
0036,150046.48,67051.52,82994.96,0.0,10.3537,151249.53,69533.24,76344.71,5371.59,10.7739,1203.06,0.4202,2863.07,,20.4161,21.467,1.0509
0037,148340.43,67095.03,81245.4,0.0,10.3585,150082.14,69599.32,75105.64,5377.18,10.7831,1741.71,0.4246,4102.0,,20.4494,21.4941,1.0447
0038,148515.64,67067.93,81447.71,0.0,10.3585,151074.02,69666.16,76025.3,5382.57,10.7994,2558.39,0.4409,5802.65,,20.4109,21.5181,1.1072
0039,151377.77,67447.11,83930.66,0.0,10.4168,152662.74,69559.33,77731.91,5371.5,10.7792,1284.97,0.3624,3545.72,,20.5595,21.4448,0.8853
0040,151795.44,67483.87,84311.57,0.0,10.4129,153279.29,69790.81,78096.76,5391.72,10.809,1483.85,0.3962,3745.2,,20.582,21.5469,0.9649
0041,151780.25,67486.37,84293.87,0.0,10.4187,152923.88,69753.16,77778.9,5391.81,10.8056,1143.63,0.3869,2955.88,,20.5923,21.5787,0.9864
0042,150499.58,67360.57,83139.01,0.0,10.3965,150485.31,69260.0,75877.4,5347.9,10.7328,-14.27,0.3363,-42.43,,20.5028,21.3463,0.8435
0043,148663.71,67239.52,81424.19,0.0,10.3861,150657.27,69595.77,75685.61,5375.88,10.7884,1993.56,0.4023,4955.41,,20.4747,21.4798,1.0051
0044,150347.64,67082.75,83264.89,0.0,10.3571,151889.92,69545.94,76974.08,5369.9,10.772,1542.28,0.4149,3717.23,,20.3648,21.4304,1.0656
0045,149890.61,67036.76,82853.85,0.0,10.3545,148991.72,68849.58,74828.97,5313.17,10.6738,-898.89,0.3193,-2815.19,,20.42,21.1809,0.7609
0046,148401.81,66884.68,81517.12,0.0,10.3288,150081.48,69478.92,75233.73,5368.82,10.7721,1679.67,0.4433,3789.01,,20.3279,21.4718,1.1439
0047,147868.17,66845.78,81022.4,0.0,10.3229,149496.63,69279.84,74869.98,5346.82,10.7364,1628.46,0.4135,3938.23,,20.3068,21.3154,1.0086
0048,149471.43,67085.23,82386.2,0.0,10.364,152025.52,69499.55,77160.44,5365.54,10.7779,2554.1,0.4139,6170.81,,20.3727,21.4089,1.0362
0049,151780.25,67486.37,84293.87,0.0,10.4187,152923.88,69753.16,77778.9,5391.81,10.8056,1143.63,0.3869,2955.88,,20.5923,21.5787,0.9864
0050,150774.43,67330.41,83444.02,0.0,10.4023,150252.98,68889.77,76050.14,5313.08,10.6781,-521.45,0.2757,-1891.37,,20.4826,21.1477,0.6651
0051,150165.91,67467.95,82697.97,0.0,10.4152,150576.28,69759.13,75428.08,5389.08,10.8112,410.37,0.3961,1036.03,,20.5243,21.5341,1.0098
0052,150033.24,67204.31,82828.93,0.0,10.3776,152127.63,69568.19,77185.6,5373.85,10.783,2094.39,0.4055,5164.96,,20.4668,21.4736,1.0068
0053,149931.79,67385.81,82545.98,0.0,10.4151,152123.79,69585.91,77161.9,5375.99,10.7868,2192.0,0.3717,5897.23,,20.5793,21.4904,0.9111
0054,146877.45,66963.65,79913.8,0.0,10.342,148674.56,69104.42,74237.63,5332.51,10.7153,1797.11,0.3733,4814.12,,20.3026,21.253,0.9504
0055,149266.8,67205.2,82061.6,0.0,10.3819,149955.42,69458.91,75133.17,5363.34,10.7663,688.61,0.3844,1791.39,,20.4478,21.4066,0.9588
